ID,Text,Labels
17,最好吃的是什么？不是季节啊，我首先想到的就是大闸蟹。 __eou__ 那边没有最好吃的！不好吃都 __eou__ 坐高铁去得？几个小时多钱？我考虑要是去上海可以考虑坐高铁去武汉吃米粉哈哈 __eou__ 尼玛你直接飞来我请你吃够！哈哈 __eou__ 我目的地不是武汉啊,63116
18,我想知道有没有好心人点进我的相册看看我是几分的…（小声逼逼&瑟瑟发抖） __eou__ 8分呀6条条条符合呀 __eou__ 真爱宝宝怎么在这被你捞出来的 __eou__ 哈哈哈通知里面看到的,4221
19,摸摸头，坚强的小土豆！ __eou__ 噗你也是大家都一样作为特别关注我特别荣幸噗 __eou__ 哈哈哈，我还指望着你成了网红一起卖面膜呢 __eou__ 噗好哒那我要多出一点摄影作品了！,2111
20,铁定是没成功啊 __eou__ 哎呀?你觉得可能吗！我一出马不成功不可能！ __eou__ 哦哟，是不是哦，出马和看看 __eou__ 哈哈哈哈！开玩笑的！人家一定要谦虚啦！ __eou__ 哈哈，好谦虚哦，我其实才是最谦虚的,32511
21,可我觉得他没有比赛的时候可爱了样子变了 __eou__ 是的的台下很可爱脸怎么尖尖的了不过唱歌的时候真的好腻害 __eou__ 嗯嗯唱歌超好听手都很帅 __eou__ 嗯呢男生手好看很心动哦,2222
22,不太懂素锦为啥对着镜子说话，她不知道她手上的镜子是夜华的而另一个镜子在素素那么 __eou__ 就是故意说给素素听 __eou__ 她说的那个话特别真诚我以为她想对夜华说 __eou__ 哈哈可以看看原着就都懂了,6661
23,播音界泰斗齐越老先生 __eou__ 对对对，文化人呀 __eou__ 我是播音主持专业的哈哈 __eou__ 可以呀！厉害了,6212
24,照顾好自己！抱抱 __eou__ 抱抱也不知道最近怎么了身体这么差 __eou__ 我男朋友上个月也是超级背还一直生病水逆嘛！！都会好的！ __eou__ 嗯嗯我相信我很快就会好起来的,2322
25,为自己准备好纸巾了不哭不是我本人 __eou__ 我到时候都不想投票了双重压力 __eou__ 我姐妹跟我说:“说不定你哥哥就差你那几百票”痛苦啊 __eou__ 这个时候无比希望公司下场帮我们投几个小时票好不好 __eou__ 我们根本指望不了公司555他们只想简单快乐 __eou__ 简单快乐还要剪辑师吗我自荐一下,343336
26,我不喜欢秃子！ __eou__ 秃子怎么啦？怎么啦？怎么啦？环保节能又可以照亮。 __eou__ 秃子有点像吸毒的啊！ __eou__ 扯淡。你这太不客观。好多满脑袋头发的还杀人呢。,5555
27,可以找你谈恋爱不周末包接送的那种哈哈 __eou__ 不和hmp谈恋爱那种又是哪种 __eou__ 乱说你误解我了我只是幽默一哈 __eou__ 可能是嘛这样子幽默我就只有呵呵了 __eou__ 搞得我跟坏人一样,15155
28,十个高地9个基（外加名字可以确认也是基！ __eou__ 哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈我是基佬我骄傲！！！（名字一点也不鸡！） __eou__ 天宝伏妖录还不基！ __eou__ 嘘，那是本玄幻剧情文！,6166
29,我只注意到了是“他” __eou__ 哈哈，是男生，然而好朋友没有性别之分～ __eou__ 我不管，又一个潜在情敌 __eou__ 哪来这么多情敌啦，亲亲哈,6141
30,你啊你啊!!真系好靓啊你!! __eou__ 好似你靓d喔~ __eou__ 你有星味~哈哈!! __eou__ 你青春无敌~！,2222
31,小学你就38的脚了！莫非阁下就是江湖上人人敬仰的赤脚大仙？小弟乃诚实可靠小郎君，人世间一迷途小书童，久仰大名 __eou__ 你是第二个发现的脑子一下子没转过弯来 __eou__ 泡脚好事情，解乏，还可以去死皮，小时候你就知道这些，长大不得了的 __eou__ 好家伙??被你一说??我感觉自己突然好机智 __eou__ 必须的，捏脚这个行业，你不掌握点专业技能，养生知识？怎么和客人交流，你说对吧！,66622
32,哈哈··看你美得···多练练··省的下回再扭到·哈哈·· __eou__ 不是扭到??是脚一直抽筋不知道怎么回事唉 __eou__ 带着耳机影响你发挥了··赶紧整个小音箱去··· __eou__ 呵呵我也正有这打算呢??没有音箱太不方便了??明天得空了去淘个 __eou__ 哈哈··听姐的··保准不错··哈哈哈··,13661
33,衣服真多，可以换两小时 __eou__ 数学上有排列组合这一说，两条裤子三件褂子可以搭六套，以此类推。 __eou__ 真羡慕数学学的好且衣服又多的人 __eou__ 知道abc不代表英语好。,2626
34,政府同意，人民反对，请问这是什么政府，还有是国家哪部法律，第几条 __eou__ 这个破安检一看就是地方zf一意孤行，为了向central谄媚、交差话说，层主也玩舰r __eou__ 对的，要来波好友么 __eou__ 你哪个服？我理解服,5566
35,十八线假装是莲花的绿茶，38线的喷子 __eou__ 毕竟十八线，人家也急呀不上杆子蹭点儿也没辙 __eou__ 你美，你说的都对 __eou__ 到哪儿热评都是她各种扎眼 __eou__ 对的而且永远复制粘贴,55255
36,你的高光用的什么牌子的啊？灵不灵？ __eou__ 用的棒啊！估计你会觉得油腻腻，我蛮喜欢的。不过男生会说满脸油光 __eou__ 什么牌子的啊？看起来不错呢，我也一直想买高光的 __eou__ 3ce！我脸起皮冬天不敢用粉状的，夏天用可能会油。,6266
37,你永远走在我前面，注定要给我提供攻略！ __eou__ 好的据说九月贷款比较紧??我正好可以请个假嘿嘿 __eou__ 意思是我也能休息休息了？ __eou__ 没错哈哈等我给你提供攻略 __eou__ 好的，你们云南跟团么 __eou__ 要问她，我一无所知哈哈,616161
38,下次找一张我侄女的照片发给你看，和你家闺女长得一个样。现在大学教书。 __eou__ 也有这么肥大？ __eou__ 长得像，胖得也像。 __eou__ 那这个老师看上去非常和蔼了,6562
39,如果女的回答，看过画的，怎么办？然后女的继续补刀，她认真想五角星她看没看过怎么办 __eou__ 撞上了，我的回答就是看到过 __eou__ 很好很好很好 __eou__ 然后我朋友就说这就是你没对象的原因，见过的太多了,6626
40,你好厉害~我好怕怕~万一碰见你！你会不会骂我啊 __eou__ 怎么可能？一看你也不是那么没素质的人。另外我现在也不跟那种人较劲，犯不着。 __eou__ 我很乖的~开车特别文明~我准备明天给后面弄个'新手上路' __eou__ 别，有人知道你是新手该欺负你了，什么也别弄最好。,4616
41,你也不吃葱吗 __eou__ 此物乃世间不合理存在之一 __eou__ 可是有些食物没有葱又觉得少点什么挑葱好辛苦 __eou__ 世界没有葱并不会有何不同哦我总是看见端来的葱才想起忘跟店家说别！放！葱！,6555
42,生日快乐，去年我们一起，今年大家都在不同领域努力，加油！ __eou__ 好怀念在剧组的日子…蛇蛇都拍好几部戏了，火了可千万不要忘记飘姐 __eou__ 哈哈，飘姐现在了都是主持人了呢希望有天你主持节目，嘉宾是我，哈哈哈 __eou__ 嗯哪嗯哪，我们都好好努力,1611
43,真小资去加拿大的准备工作一切还顺利吧？ __eou__ 还没啊，昨天刚刚发邮件给加拿大大使馆催签证，好怕这两周h出不了啊 __eou__ 我当时也是，签证在航班前一周才粗来，加政府效率一塌糊涂的~ __eou__ 你总共等了多久呀?我七月中回来才递的，现在刚一个月，所以比较担心,6454
44,阿佳妮！只看过她一部《地下铁》，就爱得很 __eou__ 玛戈皇后里的阿佳妮美不胜收，活生生大仲马笔下走出来的 __eou__ 刚搜了下，没找到源 __eou__ 是蛮难找的，我当初看的也是删节版，字幕也乱七八糟，但阿佳妮的美貌5555惊天地泣鬼神啊,2262
45,有个手工客的app，做布艺、木工之类的，很好的 __eou__ 恩恩，我已经下载啦~感谢推荐 __eou__ 我也下载打算做木工呢 __eou__ 哈哈你好厉害我下载了好多app不过貌似没有木工的,2262
46,热的就是宝藏啊 __eou__ 是哒！我喝的很慢所以我一直买小杯我妈今天给我买了大杯我没喝完就冷了… __eou__ 哈哈哈哈其实我也是只是想喝但是买了又喝不完 __eou__ 买小杯！我觉得刚好够喝！,2216
47,台风就快过去了的说 __eou__ 难道台风过了就会热？？？ __eou__ 应该会，往年冬天还能穿短袖的 __eou__ 那是变态天气变化的时候⊙﹏⊙ __eou__ 的确是啊，全球变暖了嘛，昼夜温度比较大,66656
48,无问东西我觉得也不错啊你们二位喜欢不 __eou__ 无问西东去掉渣特效之外还凑合，但是没有那种深入人心的东西 __eou__ 为什么每个人感受真不一样 __eou__ 当然，喜欢的不一样吧,2366
49,喝点生姜红糖水，热热的喝，我也感冒了 __eou__ 嗯，吃了药，准备再泡泡脚。头疼得不行。你多注意啊! __eou__ 准备等会喝生姜红糖水 __eou__ 早点睡，感冒要多睡，好得快。 __eou__ 嗯，你也早点好 __eou__ 嗯，你也早点好！,666622
50,你的美瞳哪里买的？ __eou__ 我不带美瞳的，感觉不舒服 __eou__ 你知不知道哪里有好点的美瞳卖？ __eou__ 加我微信，我推名片给你,6566
51,一加出自oppo系，抄mback，不要脸 __eou__ 还有魅族申请的专利不是home键而是mabck，home键的交互方式。你这么能喷怎么不去喷zuk啊。傻子。 __eou__ 抄别人的东西还不知羞耻，oppo也就这b样 __eou__ 死脑残，我手里的一加坏了而已，何必紧张？又不是没用过魅族，傻子清醒下吧。,5555
52,我们也是超级爱趴睡 __eou__ 趴着睡不撅屁股就没事 __eou__ 我们一撅屁股就要醒 __eou__ 撅屁股睡觉好像有什么说法吧？你去查一下 __eou__ 我们就是要醒之前撅屁股，然后就坐起来了,26666
53,孙仙女的我看过好几部都演的特别好，长的又好看 __eou__ 以前是不是和亲爱的聊过孙艺珍，我记性不好 __eou__ 好像吧我记性更差她真的好漂亮，我当时看假如爱有天意好喜欢她 __eou__ 好像是谈论过假如爱有天意，我喜欢里面的那种意境纯美的爱情片，孙艺珍我是看了夏日香气,2622
54,喝牛奶胃痛，又不爱吃肉，怎么补充蛋白质呢 __eou__ 蒙牛新养道0乳糖 __eou__ 这个牛奶不会胀气吗？我喝伊利的脱脂奶胃痛死 __eou__ 我之前买的伊利舒化奶，觉得口感没蒙牛的好喝，我喝了没胀气,6656
55,这是去看啥大型演出了 __eou__ 五彩文化广场的露天晚会，随便看，不花钱的。 __eou__ 我去了一次只有音乐喷泉啊 __eou__ 我也不知道啥时候有组织活动，网上差不到呢。,6636
56,哈哈这是用啥的相机？ __eou__ 不是相机，焖饭那里拿得 __eou__ 好吧，我以为你自制的 __eou__ 原图拿的，表情包我做的，用美图,6666
57,用心做的事情都好让人感动 __eou__ 宝贝，你多久打到的车 __eou__ 你走了一会会??我就打着车了 __eou__ 咱俩都是幸运的 __eou__ 嗯嗯??哈哈??和你的震哥哥一起共进晚餐吧,26611
58,大晚上的怎么了？怎么还要拍片？不要着急，已经是妈妈了，要更坚强，这样才能好好保护你的心头肉。加油。 __eou__ 由于我的疏忽孩子着凉了！后果有点严重 __eou__ 这两天听到周围的三四个孩子着凉发烧了，温差大，要好好注意。不要自责了，看好宝宝要紧。 __eou__ 嗯！以后再也不大意了,2464
59,哈哈，明天才开始啊 __eou__ 是的，短信上讲5号开始我才注意看到。我到家了 __eou__ 嗯，我刚刚在打电话，嘿嘿，改天再约出来哈！ __eou__ 嗯嗯，今天那个芒果椰膏好吃！ __eou__ 哈哈，不错不错，还是要尝试新东西啊,16122
60,这样啊老了老了受不起大声的音乐 __eou__ 我也吓坏我了心脏受不了 __eou__ 看来我还是弃了好了 __eou__ 只不过还是挺喜欢的推荐看2d,5552
61,早上6:35分在伪皇宫和东大桥中间坏了 __eou__ 但后来在吉林大路又停了不知道具体为什么 __eou__ 可能没修好，现在一坐轻轨都后怕 __eou__ 只要不停就代表问题不大，但是有隐患,6644
62,你太坏，放毒就不说了，偏偏在这个时候，让我恨你吗？ __eou__ 一起锻炼坚强的意志力 __eou__ 目前还在坚持，不晓得能忍好久 __eou__ 我会继续锻炼你的,5266
63,粉丝到底是个什么存在？？？周杰伦知道你是谁？？可悲，可怜！ __eou__ 哇，现在只要是偶像不知道自己存在，都不好意思成为粉丝了?那大天朝几亿人真是混得差啊! __eou__ 不要自己和其他人混为一谈。 __eou__ 别人也包括你，那你混得一定是风生水起，我似乎该说一句羡慕?,5555
64,我后天有小测昨天做梦梦见僵尸狂叫我写试卷吓得我直接醒来 __eou__ 哈哈哈哈哈什么鬼，脑洞好大 __eou__ 考前焦虑每次快要考试就紧张梦里的内容都充满了压力 __eou__ 准备充分点就不会焦虑了,4146
65,全家团聚的神马最开心了 __eou__ 哈哈！是我外公外婆这边儿后面三幅字画最右面一幅是我外公自己写的 __eou__ 给跪了、、大师啊！你有没有遗传到哈哈~祝两老福如东海寿比南山哈！ __eou__ 不过每次会输就是哈哈,1121
66,看到你很开心，很幸福，我也觉得好幸福。希望他十年如一日地爱着你！恩爱一直秀下去 __eou__ 好我努力他也努力我才想看你一直开开心心快快乐乐的 __eou__ 放心啦，我会很开心的，你不用担心我，好好经营你自己的感情就是啦！好久没看到你了，想你了。 __eou__ 我才是想你啦我这个寒假要学车车还不知道能不能来找你玩你过年啥时候回来呀,2222
67,咋啦不喜欢他了？ __eou__ 淡了很久了。 __eou__ 天了噜绝情的人 __eou__ 我这不是去看他了吗！？还想让我怎样,6355
68,？？？？乍一看我以为是我跟你说的 __eou__ 你是好人，不会不照顾孤寡青年的内心的 __eou__ 哈哈哈哈哈哈哈孤寡中年吧 __eou__ 你跟他一样的货色！ __eou__ 不！我比他好多了！！我好多东西没跟你秀呢,62152
69,有点好奇你什么时候学过骑马，貌似这是时尚白领的新潮流 __eou__ 是呀，之前都没听说过学骑马呢？这究竟是玩来着，还是为新戏准备呢，窦老师能告诉我们吗？ __eou__ 窦老师肯定说，那是秘密不能告诉你的。如果他真告诉你，我打赌到广东请您喝早茶啊！ __eou__ 窦老师最近会不会到上海来赛车呢？你要抓紧机会问问他呀！ __eou__ 所以回到我前面那条评论，我担心他不赛车，改赛马啦，我得回头找找上海有哪些骑马的地方喽 __eou__ 骑马的地方可能北京比上海的多一点吧！骑马不一定到上海了吧？,666666
70,看过推荐这家！！ __eou__ 我们也是被推荐去的真的不错诶！！ __eou__ 哈哈哈好我要去离我超近 __eou__ 要早点去最好提前预约还有，就是有点小贵 __eou__ 哈哈好~get！,22161
71,垃圾egd真的废物bp两把都是大虫子老鼠不长记性 __eou__ 垃圾，懂？生活的不如意喷比你强的人？ __eou__ 狗腿子看到没又输了废物 __eou__ 输了关你毛事哦？你气啥？,5555
72,真能走啊不说来贵阳么你人呢你人呢？？？？？？ __eou__ 谁叫贵阳不是港口？？快帮我在贵阳找要煤炭的，就可以去了哈哈 __eou__ 那来六盘水这边全是煤炭哈哈 __eou__ 我是需要有人买我的煤炭啦，哈哈我公司进口煤炭的,3111
73,甜的还是咸的呀 __eou__ 咸的，这边只有肉粽 __eou__ 嘉兴肉粽很好吃勒??嘻嘻 __eou__ 嗯嗯，还可以，不过玩我最爱的还是家里的白粽,6612
74,有点不尊重记者了 __eou__ 没事啦蜜蜂每个人表达自己观点罢了别太在意啦 __eou__ 还是有理智粉的 __eou__ 你也别生气因为杨幂最近被骂得太厉害所以粉丝很敏感,5666
75,去他的滥情种，老娘看破了 __eou__ 好人还是有滴。正向你走来呢你要相信。 __eou__ 昨晚是我来协和第一次失眠！我不懂是好的还是不好的征兆 __eou__ 偶尔失眠正常啦没事。看来是白天过得太轻松了 __eou__ 也许是因为昨晚看了高度帅的照片的缘故 __eou__ 高富帅不一定靠谱啊,563666
76,该死的，有人说减肥不买泡面，哎 __eou__ 该死的，是你不让我去买的 __eou__ 该死的，是我叫你买你不买的 __eou__ 该死的，后来我要买，你哼哼个啥,5555
77,张的好就是不一样啊 __eou__ 怎么会不一样啊～～ __eou__ 长得好惹人喜欢、惹人爱啊 __eou__ 也不见得，现在这个社会流行嘴巴甜，似乎人人都爱虚伪,6665
78,我觉得我所有的皂片都正常美丽动人冰天雪地人景合一！ __eou__ 嗯呐，尤其是和黑蒙古包的合照，更是衬托你的气色红润万人迷，看了你的照片也是醉了 __eou__ 觉得不能一起愉快的玩耍了 __eou__ 琪琪姐姐你不爱我了吗,2233
79,同感同感同感！！！ __eou__ 其实一周只有周末我才有状态哇哈哈 __eou__ 我也是啊，tmd，我发现我现在周一到周五上课上得比大学还积极，大学偶尔还有一两天没课的时候！ __eou__ 哈哈哈看到tmd这几个字我觉得好嗨啊！！,6151
80,你是演妖怪甲还是乙？ __eou__ 这都被你猜中了最主要的是还剩两天，现在还在加班做提案 __eou__ 悲催，为虾米你就不能演个葫芦娃呢？ __eou__ 依旧做俊发·····我也觉得我适合演葫芦娃，可就我一个窜角的话太抢戏了··不妥哈哈 __eou__ 贵阳得？有啥子不妥？我觉得妥妥得，演三娃，刀枪不入！ __eou__ 对头。我觉得四娃更适合，喷火哈哈,663161
81,我就一个问题博主去丽江被当地人民强制坑了多少钱？ __eou__ 你有被强制坑的类似经历？ __eou__ 嗯想起来都恶心??以后绝对不会再去云南 __eou__ 摔倒了自暴自弃也是一种选择 __eou__ 我是用脚投票然后再告诉其他人云南旅游环境多差云南的旅游服务有多差云南的强制消费有多恶心人,66565
82,有钱头寄点给我吃吃啊 __eou__ 你还喜欢吃甜的啊 __eou__ 我一直喜欢吃甜的 __eou__ 这种不添加防腐剂的寄到你那里应该会坏掉天气太热,6226
83,这款实在太喜欢了，地台超棒的，可惜我还没有，而且太贵了，15也没提升多少嘛 __eou__ dx15提升的小细节不少，半植发，新款地台等等吧，而且预订也才1400左右，对于没入dx06的玩家来说还是很好哒，期待下 __eou__ 嗯嗯。15预订了两个，价格这次很亲民，06-15都是帅b啊，各有好处 __eou__ 都有保留价值，嗯嗯,2222
84,我老公今早就被贴条了。就差六分钟。nnd __eou__ 帮你画圈圈诅咒丫的 __eou__ 没错！主要是一排车就贴了他一辆。挑着贴的！ __eou__ 这有点儿忒孙子了,5555
85,这男的太可恶了 __eou__ 是很可恶，想起来还会心有馀悸。 __eou__ 多危险啊。万一后面还有车开过来后果不堪设想。 __eou__ 是哇还好女孩命大后面没有车有车你我现在也不会成姐妹了 __eou__ 啊?!这个女孩是姐姐这男的更该死了！ __eou__ 嗯嗯是姐姐可怜的姐姐,554453
86,家培哥，不要伤心！你这么优秀公司舍不得勒…开心点，什么都难不到你！加油 __eou__ 优秀？？？优秀就不会考不过。 __eou__ 运气问题，老师发现桌面有题库了！一次考试又不能说明什么，不要气了，以后还有很多的检查航班需要你！ __eou__ 算咯！我不行噢。现在都是你们了。,2323
87,今天第一次看到你，感觉很不真实，全程一直看着你，却还觉得时间太少，以后还要再见你！ __eou__ 小叶子长得和电视上一样吗？ __eou__ 一样啊，看上去给人很舒服的感觉，就是觉得他好累，挺心疼的。 __eou__ 啊谢谢了，希望有机会亲自看看小叶子，当然能见到诺一霓娜才最开心,2622
88,自己抓个人参不就得了 __eou__ 哪有人参让我随便抓的道理啊 __eou__ 有呀，那么大个六盘山难道还没有一两颗千年老参嘛 __eou__ 我害怕被千年老参精把我吃了,6664
89,老女人???哼 __eou__ 那你明天还要见老女人吗 __eou__ 要啊，我就喜欢比我大的 __eou__ 哈哈。好巧。我们00后就喜欢和90后大姐姐玩,5521
90,啊，我去过那，陪朋友去喝中药，每次我都会抢着喝一点，简直是有病 __eou__ 对对那的工大美女到是挺多的 __eou__ 你是怎么了，中药都上了 __eou__ 呃一点点比较麻烦得病嘻嘻嘻没事的 __eou__ 嗯好吧，好好养养,51312
91,哈哈哈哈哈来北京来北京我在北京等你 __eou__ 到时候请来我的格调loft陪我住（也不知道我能不能租的起啊哈哈哈 __eou__ 我真的超想你来北京！！因为觉得咱们肯定会很合拍一起吃吃喝喝聊聊干嘛之类的哈哈哈 __eou__ 真的会，我们应该继续住一起呀肯定超开心。如果是咱俩在一块大概就是28过得像18（幼稚哈哈哈,1111
92,正常丫，智齿都这样的 __eou__ 什么是智齿会痛吗我怕 __eou__ 发炎就痛，有些人痛有些人不痛，反正我四个长完就没痛过 __eou__ 保佑我不要痛不然就麻烦了快保佑我啊,6464
93,你的粉丝增长好快，6000多了。好。 __eou__ 发原创文章就增长得多点…也是您早期转发给带出来的 __eou__ 还是你勤快，我的真粉也就那么多。 __eou__ 我这也是闲空多…而且也是不少新浪涨的僵尸粉…,2226
94,捧臭脚从台下捧到台下了，捞金组合无耻到家了根本不配做音乐小丑 __eou__ 我做不做音乐跟你有半毛钱关系，别那么累好吗？我好得很，您就别关心了谢谢啊。 __eou__ 我又没说跟我有关系只是从节目可以看出来人品差 __eou__ 我人品如何跟你就更没关系了，我又不是你爹，您太关心我了，承受不起，只好拉黑，抱歉！,5555
95,男神总艾特非粉或者生粉、这些熟的一次机会都不给是不是 __eou__ 编号618你满足吧，昨天都回你了。哼 __eou__ 今儿不是没回么、他一天不理我、总感觉跟个事儿卡心里一样 __eou__ 的确是这样的，我大早上的都来蹲点了。还是先好好上课,5556
96,你们快点去参加我在这里祝福 __eou__ 妹纸们可得多支持哦～ __eou__ 我是想去我不在那几个城市。放心小护，点映已阅。开始二刷三刷… __eou__ 哇塞，好给力呀～,2262
97,西安没有红花会的成都有 __eou__ 哦哦，好的，谢谢啦。我想着红花会在西安，所以应该也会有一些演出可以看，所以问问，最近才跳进坑，不是多么了解 __eou__ 他们签的公司在北京的。不过下半年应该会有很多演出的 __eou__ 哦哦，好的，谢谢慢慢开始关注啦,6666
98,遇到这种事先打电话打给能第一时间到的朋友。女生晚上一个人还是要早点回家 __eou__ 真的有血泪教训了我还是要好好在家给你们写春联比较好 __eou__ 思想觉悟顿时提高总之没出大事就好 __eou__ 嗯嗯我还是相当感恩的,6462
99,亲也长智齿了么!我也是! __eou__ 去年长的，拔了一颗现在。要去拔啊你应该 __eou__ 一开始好痛，医生给我消炎后不痛了，说没再发炎就尽量让它长 __eou__ 对啊，但是长在牙床里边缘，不容易清洗，日后容易再发炎生事，所以，我就干脆拔了痛快,6666
100,恭喜啊！能回家过年了！ __eou__ 是啊…你呢？不会回不了家过年吧？… __eou__ 我们过年不休息，但是我申请在沈阳飞一个月，就能回家过年了。 __eou__ 不错哈！可以工作家人两不务,2662
101,是我喜欢的元素 __eou__ 平跟的很舒服 __eou__ 你的身高不用高跟了 __eou__ 有时候很喜欢俯视众生的感觉,2261
102,怎么了??心情不好啊 __eou__ 多多这个大坏蛋自私的要死 __eou__ 只买他想吃的不买你想吃的 __eou__ 错是开始压根没给我买,6555
103,哈哈一大早被你这梦乐醒了 __eou__ 哈哈其实还有好多细节呢我看见这位艺术家的工作室挺大明亮又宽敞还有中秋节的月饼盒子一米多长…哈哈我醒了也笑了 __eou__ 怎么会做这样的梦？潜意识里你想跳槽？ __eou__ 我也不知道啊光怪陆离的信息量杂揉在一起我啥时候这么胡思乱想过呢？,1166
104,我为你的荷包感到担心 __eou__ 我就这点爱好了 __eou__ 哈哈哈哈哈所以每次张文宝说我花钱我都说你然后他就不说了 __eou__ 周末回来经常聚聚吖可以相互分享一下败家心得哈哈哈 __eou__ 哈哈哈哈哈可以有～估计张文宝以后和你们聚就不会带我了 __eou__ 没事咱们不带他他转账就行了,461116
105,真心希望他俩能好 __eou__ 黑粉太多，真好了还会被骂 __eou__ 黑粉估计都是脑残粉，我真搞不明白，别人谈个恋爱他们着什么急，难不成把他们搅黄了，还能娶他们不成 __eou__ 就是说啊，就见不得人家好，这种思想不好,2555
106,太太你们需要排版吗？？！！ __eou__ 需要校对！！！qaq __eou__ qaq这边不做校对，可惜惹 __eou__ 还是留个联系方式吧！！！我们的排版好久都没吱声了！！！惊恐,6634
107,实在不理解喝醉了撒疯的这些人喝醉了要不就是还有思想要不就是短片啊哪有那么多别的想法 __eou__ 这就是我不喜欢喝酒原因 __eou__ 对呀喝醉酒要么是断片要么就是还有意识只是借着酒精撒疯而已 __eou__ 我很不喜欢劝我酒的人或者劝我以后男朋友酒的人,5555
