indexNo,text,sentiment
135,必须的，捏脚这个行业，你不掌握点专业技能，养生知识？怎么和客人交流，你说对吧！,1
136,哈哈··看你美得···多练练··省的下回再扭到·哈哈··,0
137,不是扭到??是脚一直抽筋不知道怎么回事唉,2
138,带着耳机影响你发挥了··赶紧整个小音箱去···,5
139,呵呵我也正有这打算呢??没有音箱太不方便了??明天得空了去淘个,5
140,哈哈··听姐的··保准不错··哈哈哈··,0
141,衣服真多，可以换两小时,1
142,数学上有排列组合这一说，两条裤子三件褂子可以搭六套，以此类推。,5
143,真羡慕数学学的好且衣服又多的人,1
144,知道abc不代表英语好。,5
145,政府同意，人民反对，请问这是什么政府，还有是国家哪部法律，第几条,4
146,这个破安检一看就是地方zf一意孤行，为了向central谄媚、交差话说，层主也玩舰r,4
147,对的，要来波好友么,5
148,你哪个服？我理解服,5
149,十八线假装是莲花的绿茶，38线的喷子,4
150,毕竟十八线，人家也急呀不上杆子蹭点儿也没辙,4
151,你美，你说的都对,1
152,到哪儿热评都是她各种扎眼,4
153,对的而且永远复制粘贴,4
154,你的高光用的什么牌子的啊？灵不灵？,5
155,用的棒啊！估计你会觉得油腻腻，我蛮喜欢的。不过男生会说满脸油光,1
156,什么牌子的啊？看起来不错呢，我也一直想买高光的,5
157,3ce！我脸起皮冬天不敢用粉状的，夏天用可能会油。,5
158,你永远走在我前面，注定要给我提供攻略！,5
159,好的据说九月贷款比较紧??我正好可以请个假嘿嘿,0
160,意思是我也能休息休息了？,5
161,没错哈哈等我给你提供攻略,0
162,好的，你们云南跟团么,5
163,要问她，我一无所知哈哈,0
164,下次找一张我侄女的照片发给你看，和你家闺女长得一个样。现在大学教书。,5
165,也有这么肥大？,4
166,长得像，胖得也像。,5
167,那这个老师看上去非常和蔼了,1
168,如果女的回答，看过画的，怎么办？然后女的继续补刀，她认真想五角星她看没看过怎么办,5
169,撞上了，我的回答就是看到过,5
170,很好很好很好,1
171,然后我朋友就说这就是你没对象的原因，见过的太多了,5
172,你好厉害~我好怕怕~万一碰见你！你会不会骂我啊,3
173,怎么可能？一看你也不是那么没素质的人。另外我现在也不跟那种人较劲，犯不着。,5
174,我很乖的~开车特别文明~我准备明天给后面弄个'新手上路',0
175,别，有人知道你是新手该欺负你了，什么也别弄最好。,5
176,你也不吃葱吗,5
177,此物乃世间不合理存在之一,4
178,可是有些食物没有葱又觉得少点什么挑葱好辛苦,4
179,世界没有葱并不会有何不同哦我总是看见端来的葱才想起忘跟店家说别！放！葱！,4
180,生日快乐，去年我们一起，今年大家都在不同领域努力，加油！,0
181,好怀念在剧组的日子…蛇蛇都拍好几部戏了，火了可千万不要忘记飘姐,5
182,哈哈，飘姐现在了都是主持人了呢希望有天你主持节目，嘉宾是我，哈哈哈,0
183,嗯哪嗯哪，我们都好好努力,0
184,真小资去加拿大的准备工作一切还顺利吧？,5
185,还没啊，昨天刚刚发邮件给加拿大大使馆催签证，好怕这两周h出不了啊,3
186,我当时也是，签证在航班前一周才粗来，加政府效率一塌糊涂的~,4
187,你总共等了多久呀?我七月中回来才递的，现在刚一个月，所以比较担心,3
188,阿佳妮！只看过她一部《地下铁》，就爱得很,1
189,玛戈皇后里的阿佳妮美不胜收，活生生大仲马笔下走出来的,1
190,刚搜了下，没找到源,5
191,是蛮难找的，我当初看的也是删节版，字幕也乱七八糟，但阿佳妮的美貌5555惊天地泣鬼神啊,1
192,有个手工客的app，做布艺、木工之类的，很好的,1
193,恩恩，我已经下载啦~感谢推荐,1
194,我也下载打算做木工呢,5
195,哈哈你好厉害我下载了好多app不过貌似没有木工的,1
196,热的就是宝藏啊,1
197,是哒！我喝的很慢所以我一直买小杯我妈今天给我买了大杯我没喝完就冷了…,1
198,哈哈哈哈其实我也是只是想喝但是买了又喝不完,0
199,买小杯！我觉得刚好够喝！,5
200,台风就快过去了的说,5
201,难道台风过了就会热？？？,5
202,应该会，往年冬天还能穿短袖的,5
203,那是变态天气变化的时候⊙﹏⊙,4
204,的确是啊，全球变暖了嘛，昼夜温度比较大,5
205,无问东西我觉得也不错啊你们二位喜欢不,1
206,无问西东去掉渣特效之外还凑合，但是没有那种深入人心的东西,2
207,为什么每个人感受真不一样,5
208,当然，喜欢的不一样吧,5
209,喝点生姜红糖水，热热的喝，我也感冒了,5
210,嗯，吃了药，准备再泡泡脚。头疼得不行。你多注意啊!,5
211,准备等会喝生姜红糖水,5
212,早点睡，感冒要多睡，好得快。,5
213,嗯，你也早点好,1
214,嗯，你也早点好！,1
215,你的美瞳哪里买的？,5
216,我不带美瞳的，感觉不舒服,4
217,你知不知道哪里有好点的美瞳卖？,5
218,加我微信，我推名片给你,5
219,一加出自oppo系，抄mback，不要脸,4
220,还有魅族申请的专利不是home键而是mabck，home键的交互方式。你这么能喷怎么不去喷zuk啊。傻子。,4
221,抄别人的东西还不知羞耻，oppo也就这b样,4
222,死脑残，我手里的一加坏了而已，何必紧张？又不是没用过魅族，傻子清醒下吧。,4
223,我们也是超级爱趴睡,1
224,趴着睡不撅屁股就没事,5
225,我们一撅屁股就要醒,5
226,撅屁股睡觉好像有什么说法吧？你去查一下,5
227,我们就是要醒之前撅屁股，然后就坐起来了,5
228,孙仙女的我看过好几部都演的特别好，长的又好看,1
229,以前是不是和亲爱的聊过孙艺珍，我记性不好,5
230,好像吧我记性更差她真的好漂亮，我当时看假如爱有天意好喜欢她,1
231,好像是谈论过假如爱有天意，我喜欢里面的那种意境纯美的爱情片，孙艺珍我是看了夏日香气,1
232,喝牛奶胃痛，又不爱吃肉，怎么补充蛋白质呢,5
233,蒙牛新养道0乳糖,5
234,这个牛奶不会胀气吗？我喝伊利的脱脂奶胃痛死,4
235,我之前买的伊利舒化奶，觉得口感没蒙牛的好喝，我喝了没胀气,5
236,这是去看啥大型演出了,5
237,五彩文化广场的露天晚会，随便看，不花钱的。,5
238,我去了一次只有音乐喷泉啊,2
239,我也不知道啥时候有组织活动，网上差不到呢。,5
240,哈哈这是用啥的相机？,5
241,不是相机，焖饭那里拿得,5
242,好吧，我以为你自制的,5
243,原图拿的，表情包我做的，用美图,5
244,用心做的事情都好让人感动,1
245,宝贝，你多久打到的车,5
246,你走了一会会??我就打着车了,5
247,咱俩都是幸运的,0
248,嗯嗯??哈哈??和你的震哥哥一起共进晚餐吧,0
249,大晚上的怎么了？怎么还要拍片？不要着急，已经是妈妈了，要更坚强，这样才能好好保护你的心头肉。加油。,1
250,由于我的疏忽孩子着凉了！后果有点严重,3
251,这两天听到周围的三四个孩子着凉发烧了，温差大，要好好注意。不要自责了，看好宝宝要紧。,5
252,嗯！以后再也不大意了,3
253,哈哈，明天才开始啊,0
254,是的，短信上讲5号开始我才注意看到。我到家了,5
255,嗯，我刚刚在打电话，嘿嘿，改天再约出来哈！,0
256,嗯嗯，今天那个芒果椰膏好吃！,1
257,哈哈，不错不错，还是要尝试新东西啊,1
258,这样啊老了老了受不起大声的音乐,4
259,我也吓坏我了心脏受不了,4
260,看来我还是弃了好了,4
261,只不过还是挺喜欢的推荐看2d,1
262,早上6:35分在伪皇宫和东大桥中间坏了,5
263,但后来在吉林大路又停了不知道具体为什么,5
264,可能没修好，现在一坐轻轨都后怕,3
265,只要不停就代表问题不大，但是有隐患,3
266,你太坏，放毒就不说了，偏偏在这个时候，让我恨你吗？,4
267,一起锻炼坚强的意志力,1
268,目前还在坚持，不晓得能忍好久,5
269,我会继续锻炼你的,5
270,粉丝到底是个什么存在？？？周杰伦知道你是谁？？可悲，可怜！,4
271,哇，现在只要是偶像不知道自己存在，都不好意思成为粉丝了?那大天朝几亿人真是混得差啊!,4
272,不要自己和其他人混为一谈。,4
273,别人也包括你，那你混得一定是风生水起，我似乎该说一句羡慕?,4
274,我后天有小测昨天做梦梦见僵尸狂叫我写试卷吓得我直接醒来,3
275,哈哈哈哈哈什么鬼，脑洞好大,0
276,考前焦虑每次快要考试就紧张梦里的内容都充满了压力,3
277,准备充分点就不会焦虑了,5
278,全家团聚的神马最开心了,0
279,哈哈！是我外公外婆这边儿后面三幅字画最右面一幅是我外公自己写的,0
280,给跪了、、大师啊！你有没有遗传到哈哈~祝两老福如东海寿比南山哈！,1
281,不过每次会输就是哈哈,0
282,看到你很开心，很幸福，我也觉得好幸福。希望他十年如一日地爱着你！恩爱一直秀下去,1
283,好我努力他也努力我才想看你一直开开心心快快乐乐的,1
284,放心啦，我会很开心的，你不用担心我，好好经营你自己的感情就是啦！好久没看到你了，想你了。,1
285,我才是想你啦我这个寒假要学车车还不知道能不能来找你玩你过年啥时候回来呀,1
286,咋啦不喜欢他了？,5
287,淡了很久了。,2
288,天了噜绝情的人,4
289,我这不是去看他了吗！？还想让我怎样,4
290,？？？？乍一看我以为是我跟你说的,5
291,你是好人，不会不照顾孤寡青年的内心的,1
292,哈哈哈哈哈哈哈孤寡中年吧,0
293,你跟他一样的货色！,4
294,不！我比他好多了！！我好多东西没跟你秀呢,1
295,有点好奇你什么时候学过骑马，貌似这是时尚白领的新潮流,5
296,是呀，之前都没听说过学骑马呢？这究竟是玩来着，还是为新戏准备呢，窦老师能告诉我们吗？,5
297,窦老师肯定说，那是秘密不能告诉你的。如果他真告诉你，我打赌到广东请您喝早茶啊！,5
298,窦老师最近会不会到上海来赛车呢？你要抓紧机会问问他呀！,5
299,所以回到我前面那条评论，我担心他不赛车，改赛马啦，我得回头找找上海有哪些骑马的地方喽,5
300,骑马的地方可能北京比上海的多一点吧！骑马不一定到上海了吧？,5
301,看过推荐这家！！,1
302,我们也是被推荐去的真的不错诶！！,1
303,哈哈哈好我要去离我超近,0
304,要早点去最好提前预约还有，就是有点小贵,5
305,哈哈好~get！,0
306,垃圾egd真的废物bp两把都是大虫子老鼠不长记性,4
307,垃圾，懂？生活的不如意喷比你强的人？,4
308,狗腿子看到没又输了废物,4
309,输了关你毛事哦？你气啥？,4
310,真能走啊不说来贵阳么你人呢你人呢？？？？？？,2
311,谁叫贵阳不是港口？？快帮我在贵阳找要煤炭的，就可以去了哈哈,0
312,那来六盘水这边全是煤炭哈哈,0
313,我是需要有人买我的煤炭啦，哈哈我公司进口煤炭的,0
314,甜的还是咸的呀,5
315,咸的，这边只有肉粽,5
316,嘉兴肉粽很好吃勒??嘻嘻,0
317,嗯嗯，还可以，不过玩我最爱的还是家里的白粽,1
318,有点不尊重记者了,4
319,没事啦蜜蜂每个人表达自己观点罢了别太在意啦,5
320,还是有理智粉的,5
321,你也别生气因为杨幂最近被骂得太厉害所以粉丝很敏感,5
322,去他的滥情种，老娘看破了,4
323,好人还是有滴。正向你走来呢你要相信。,5
324,昨晚是我来协和第一次失眠！我不懂是好的还是不好的征兆,2
325,偶尔失眠正常啦没事。看来是白天过得太轻松了,5
326,也许是因为昨晚看了高度帅的照片的缘故,5
327,高富帅不一定靠谱啊,5
328,该死的，有人说减肥不买泡面，哎,4
329,该死的，是你不让我去买的,4
330,该死的，是我叫你买你不买的,4
331,该死的，后来我要买，你哼哼个啥,4
332,张的好就是不一样啊,5
333,怎么会不一样啊～～,5
334,长得好惹人喜欢、惹人爱啊,5
335,也不见得，现在这个社会流行嘴巴甜，似乎人人都爱虚伪,4
336,我觉得我所有的皂片都正常美丽动人冰天雪地人景合一！,1
337,嗯呐，尤其是和黑蒙古包的合照，更是衬托你的气色红润万人迷，看了你的照片也是醉了,1
338,觉得不能一起愉快的玩耍了,2
339,琪琪姐姐你不爱我了吗,2
340,同感同感同感！！！,5
341,其实一周只有周末我才有状态哇哈哈,0
342,我也是啊，tmd，我发现我现在周一到周五上课上得比大学还积极，大学偶尔还有一两天没课的时候！,4
343,哈哈哈看到tmd这几个字我觉得好嗨啊！！,0
344,你是演妖怪甲还是乙？,5
345,这都被你猜中了最主要的是还剩两天，现在还在加班做提案,5
346,悲催，为虾米你就不能演个葫芦娃呢？,2
347,依旧做俊发·····我也觉得我适合演葫芦娃，可就我一个窜角的话太抢戏了··不妥哈哈,0
348,贵阳得？有啥子不妥？我觉得妥妥得，演三娃，刀枪不入！,5
349,对头。我觉得四娃更适合，喷火哈哈,0
350,我就一个问题博主去丽江被当地人民强制坑了多少钱？,5
351,你有被强制坑的类似经历？,5
352,嗯想起来都恶心??以后绝对不会再去云南,4
353,摔倒了自暴自弃也是一种选择,5
354,我是用脚投票然后再告诉其他人云南旅游环境多差云南的旅游服务有多差云南的强制消费有多恶心人,4
355,有钱头寄点给我吃吃啊,5
356,你还喜欢吃甜的啊,1
357,我一直喜欢吃甜的,1
358,这种不添加防腐剂的寄到你那里应该会坏掉天气太热,5
359,这款实在太喜欢了，地台超棒的，可惜我还没有，而且太贵了，15也没提升多少嘛,1
360,dx15提升的小细节不少，半植发，新款地台等等吧，而且预订也才1400左右，对于没入dx06的玩家来说还是很好哒，期待下,1
361,嗯嗯。15预订了两个，价格这次很亲民，06-15都是帅b啊，各有好处,1
362,都有保留价值，嗯嗯,1
363,我老公今早就被贴条了。就差六分钟。nnd,4
364,帮你画圈圈诅咒丫的,4
365,没错！主要是一排车就贴了他一辆。挑着贴的！,4
366,这有点儿忒孙子了,4
367,这男的太可恶了,4
368,是很可恶，想起来还会心有馀悸。,4
369,多危险啊。万一后面还有车开过来后果不堪设想。,3
370,是哇还好女孩命大后面没有车有车你我现在也不会成姐妹了,3
371,啊?!这个女孩是姐姐这男的更该死了！,4
372,嗯嗯是姐姐可怜的姐姐,2
373,家培哥，不要伤心！你这么优秀公司舍不得勒…开心点，什么都难不到你！加油,1
374,优秀？？？优秀就不会考不过。,2
375,运气问题，老师发现桌面有题库了！一次考试又不能说明什么，不要气了，以后还有很多的检查航班需要你！,1
376,算咯！我不行噢。现在都是你们了。,2
377,今天第一次看到你，感觉很不真实，全程一直看着你，却还觉得时间太少，以后还要再见你！,1
378,小叶子长得和电视上一样吗？,5
379,一样啊，看上去给人很舒服的感觉，就是觉得他好累，挺心疼的。,1
380,啊谢谢了，希望有机会亲自看看小叶子，当然能见到诺一霓娜才最开心,1
381,自己抓个人参不就得了,5
382,哪有人参让我随便抓的道理啊,5
383,有呀，那么大个六盘山难道还没有一两颗千年老参嘛,5
384,我害怕被千年老参精把我吃了,3
385,老女人???哼,4
386,那你明天还要见老女人吗,4
387,要啊，我就喜欢比我大的,1
388,哈哈。好巧。我们00后就喜欢和90后大姐姐玩,0
389,啊，我去过那，陪朋友去喝中药，每次我都会抢着喝一点，简直是有病,4
390,对对那的工大美女到是挺多的,0
391,你是怎么了，中药都上了,2
392,呃一点点比较麻烦得病嘻嘻嘻没事的,0
393,嗯好吧，好好养养,1
394,哈哈哈哈哈来北京来北京我在北京等你,0
395,到时候请来我的格调loft陪我住（也不知道我能不能租的起啊哈哈哈,0
396,我真的超想你来北京！！因为觉得咱们肯定会很合拍一起吃吃喝喝聊聊干嘛之类的哈哈哈,0
397,真的会，我们应该继续住一起呀肯定超开心。如果是咱俩在一块大概就是28过得像18（幼稚哈哈哈,0
398,正常丫，智齿都这样的,5
399,什么是智齿会痛吗我怕,3
400,发炎就痛，有些人痛有些人不痛，反正我四个长完就没痛过,5
401,保佑我不要痛不然就麻烦了快保佑我啊,3
402,你的粉丝增长好快，6000多了。好。,1
403,发原创文章就增长得多点…也是您早期转发给带出来的,1
404,还是你勤快，我的真粉也就那么多。,1
405,我这也是闲空多…而且也是不少新浪涨的僵尸粉…,5
406,捧臭脚从台下捧到台下了，捞金组合无耻到家了根本不配做音乐小丑,4
407,我做不做音乐跟你有半毛钱关系，别那么累好吗？我好得很，您就别关心了谢谢啊。,4
408,我又没说跟我有关系只是从节目可以看出来人品差,4
409,我人品如何跟你就更没关系了，我又不是你爹，您太关心我了，承受不起，只好拉黑，抱歉！,4
410,男神总艾特非粉或者生粉、这些熟的一次机会都不给是不是,4
411,编号618你满足吧，昨天都回你了。哼,4
412,今儿不是没回么、他一天不理我、总感觉跟个事儿卡心里一样,4
413,的确是这样的，我大早上的都来蹲点了。还是先好好上课,5
414,你们快点去参加我在这里祝福,1
415,妹纸们可得多支持哦～,1
416,我是想去我不在那几个城市。放心小护，点映已阅。开始二刷三刷…,5
417,哇塞，好给力呀～,1
418,西安没有红花会的成都有,5
419,哦哦，好的，谢谢啦。我想着红花会在西安，所以应该也会有一些演出可以看，所以问问，最近才跳进坑，不是多么了解,5
420,他们签的公司在北京的。不过下半年应该会有很多演出的,5
421,哦哦，好的，谢谢慢慢开始关注啦,5
422,遇到这种事先打电话打给能第一时间到的朋友。女生晚上一个人还是要早点回家,5
423,真的有血泪教训了我还是要好好在家给你们写春联比较好,3
424,思想觉悟顿时提高总之没出大事就好,5
425,嗯嗯我还是相当感恩的,1
426,亲也长智齿了么!我也是!,5
427,去年长的，拔了一颗现在。要去拔啊你应该,5
428,一开始好痛，医生给我消炎后不痛了，说没再发炎就尽量让它长,5
429,对啊，但是长在牙床里边缘，不容易清洗，日后容易再发炎生事，所以，我就干脆拔了痛快,5
430,恭喜啊！能回家过年了！,1
431,是啊…你呢？不会回不了家过年吧？…,5
432,我们过年不休息，但是我申请在沈阳飞一个月，就能回家过年了。,5
433,不错哈！可以工作家人两不务,1
434,是我喜欢的元素,1
435,平跟的很舒服,1
436,你的身高不用高跟了,5
437,有时候很喜欢俯视众生的感觉,0
438,怎么了??心情不好啊,5
439,多多这个大坏蛋自私的要死,4
440,只买他想吃的不买你想吃的,4
441,错是开始压根没给我买,4
442,哈哈一大早被你这梦乐醒了,0
443,哈哈其实还有好多细节呢我看见这位艺术家的工作室挺大明亮又宽敞还有中秋节的月饼盒子一米多长…哈哈我醒了也笑了,0
444,怎么会做这样的梦？潜意识里你想跳槽？,5
445,我也不知道啊光怪陆离的信息量杂揉在一起我啥时候这么胡思乱想过呢？,5
446,我为你的荷包感到担心,3
447,我就这点爱好了,5
448,哈哈哈哈哈所以每次张文宝说我花钱我都说你然后他就不说了,0
449,周末回来经常聚聚吖可以相互分享一下败家心得哈哈哈,0
450,哈哈哈哈哈可以有～估计张文宝以后和你们聚就不会带我了,0
451,没事咱们不带他他转账就行了,5
452,真心希望他俩能好,1
453,黑粉太多，真好了还会被骂,4
454,黑粉估计都是脑残粉，我真搞不明白，别人谈个恋爱他们着什么急，难不成把他们搅黄了，还能娶他们不成,4
455,就是说啊，就见不得人家好，这种思想不好,4
456,太太你们需要排版吗？？！！,5
457,需要校对！！！qaq,5
458,qaq这边不做校对，可惜惹,2
459,还是留个联系方式吧！！！我们的排版好久都没吱声了！！！惊恐,3
460,实在不理解喝醉了撒疯的这些人喝醉了要不就是还有思想要不就是短片啊哪有那么多别的想法,4
461,这就是我不喜欢喝酒原因,4
462,对呀喝醉酒要么是断片要么就是还有意识只是借着酒精撒疯而已,4
463,我很不喜欢劝我酒的人或者劝我以后男朋友酒的人,4
464,哈哈哈…好好笑。假如不对称的话那就是瑕疵的美啊…,0
465,看样子今天不会落枕了,5
466,哪有人希望自己落枕的…,5
467,明显我开玩笑的啊，哈哈,0
468,那这算冷笑话么？,5
469,希望不要冻着你，呵呵,0
470,幸亏我在广东，够暖和。哈哈哈…,0
471,好巧我也收了宠猫跟彩虹糖不过都是薄荷色,0
472,好有缘。感觉彩虹糖黑色百搭一些入了黑色,0
473,哈哈哈彩虹糖选色当初纠结死我了因为觉得好多颜色都可爱,0
474,我都把已经有了的小裙子颜色排除23333剩下的就几个颜色了,0
475,重大!!!以前最喜欢去吃饭然后散步的地方!!!好想念!!!你也算是川美熟人了哈哈哈哈,0
476,重大真的是最有大学氛围的，宽广大气，当然我还是对川美最有感情，毕竟，我也算是川美家属了,1
477,而且重大食堂也好吃!!!吃完湖边散步简直太安逸!!!,1
478,湖边散步，哈哈哈，好像缺了什么,0
479,我今天去了哦就是站最前面正中间短发那个女生！记得我吗？超级喜欢你！唱的特别棒加油,1
480,是戴眼镜的那位吗？谢谢你,0
481,嗯嗯对啊对啊加油啊！特别喜欢你！期待你的新歌！,1
482,谢谢！我也很期待,0
483,就吗也会逛街？？？,5
484,而且还是自己一个人的we厉害咩,1
485,得窝哦【不带小植树去你个就吗怎么当的,5
486,等你把植树生出来先再说--,5
487,所以，还是那句话gay逼们赶紧找到真艾，美美滋滋,4
488,诋毁别人，你也好不到哪去,4
489,说的gay狗跟个人一样,4
490,你才不是人！,4
491,看了择天记真心觉得娜扎颜值好高阿???还不错的女孩儿??就是不知道为什么那么招黑,1
492,择天记她戏份好少，都是落落戏份比较多，不知道后面会不会多一些。,5
493,应该会多一些吧??好喜欢长生容儿???爱上娜扎了??太美了,1
494,美美哒！性格又好！,1
495,恩??的确是,1
